model,n_folds,win_log_loss,win_brier,podium_log_loss,podium_brier,top1_hit,spearman_rho,mae_position,p_actual_winner,sigma_test,sigma_cv
D_grid_baseline,7,0.09758878330787704,0.02954165889627922,0.21480195616358172,0.06806690275975973,0.7142857142857143,0.6816971848027749,3.220779220779221,0.2618357142857143,4.978508099058657,4.672302538680671
A_ridge,7,0.11565856881473782,0.03425138077925325,0.23728693263183784,0.07572616805194805,0.42857142857142855,0.6818585141566508,3.352212640127733,0.19053571428571428,4.601022826997237,4.3747018436506275
B_random_forest,7,0.11623482697695123,0.0342379326298961,0.24456403403656335,0.07888910672077921,0.42857142857142855,0.6837944664031621,3.2546518432999867,0.19547857142857142,4.624283350016538,4.464497100228599
C_gradient_boosting,7,0.13924699943422228,0.038750018506506494,0.278905362737542,0.09261149029220779,0.2857142857142857,0.6879890296039365,3.31359066214736,0.16395714285714286,4.705788997089428,4.733047992397293
B3_uniform,7,0.18490739916777563,0.04338842975206614,0.3983071138052843,0.1177685950413223,,,,0.045454545454545456,,
B1_pole_wins,7,0.35884540410308163,0.025973974026974028,1.4353786164108269,0.10389589610489611,0.7142857142857143,,,0.7142857142857143,,
B2_champ_leader_wins,7,0.8971120102569541,0.06493493506593508,1.7942230205134087,0.12986987013087012,0.2857142857142857,,,0.2857142857142857,,
